This chart shows expert ratings of over 1700 Chocolate Bars,,,,,,,,,
"Among the criteria are review date, cocoa percent, and the type of cocoa bean in the chocolate bar",,,,,,,,,
Data retrieved from kaggle.com,,,,,,,,,
"CompanyX 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Column,"Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Amano,"Bali, Jembrana",304,"April, 2008",70%,,U.S.A.,2.75,X ,Indonesia
Amano,Madagascar,129,"June, 2007",70%,,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,147,"June, 2007",70%,,U.S.A.,3,X ,Venezuela
Amano,Ocumare,175,"June, 2007",70%,,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,322,"February, 2009",70%,,  Spain ,3,Forastero,Ghana
Amatller (Simon Coll),Ecuador,327,"February, 2009",70%,,  Spain ,2.75,X ,Ecuador
Amatller (Simon Coll),Ecuador,464,"February, 2009",85%,,  Spain ,2.75,X ,Ecuador
Amatller (Simon Coll),Ghana,464,"February, 2009",85%,,Spain,3,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,"May, 2013",72%,,Peru,3.25,X ,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,"May, 2013",73%,,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,1494,"July, 2015",64%,,canada,3,Trinitario,Belize
Ambrosia,Madagascar,1494,"July, 2015",66%,,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,1498,"July, 2015",75%,,Canada,3.25,X ,Dominican Republic
Ambrosia,Papua New Guinea,1498,"July, 2015",63%,,Canada,3.25,X ,Papua New Guinea
Ambrosia,Venezuela,1498,"July, 2015",70%,,Canada,3.25,X ,Venezuela
Ambrosia,Peru,1498,"July, 2015",68%,,Canada,3.5,X ,Peru
Amedei,"Piura, Blanco de Criollo",979,"January, 2012",70%,,italy,3.75,X ,Peru
Amedei,Porcelana,111,"June, 2007",70%,,italy,4,Criollo (Porcelana),Venezuela
Amedei,Nine,111,"June, 2007",75%,,italy,4,Blend,X 
Amedei,Chuao,111,"June, 2007",70%,,Italy,5,Trinitario,Venezuela
Amedei,Ecuador,123,"June, 2007",70%,,Italy,3,Trinitario,Ecuador
Amedei,Jamaica,123,"June, 2007",70%,,Italy,3,Trinitario,Jamaica
Amedei,Grenada,123,"June, 2007",70%,,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,123,"June, 2007",70%,,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,123,"June, 2007",70%,,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,129,"June, 2007",70%,,italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,170,"June, 2007",63%,,Italy,3.5,Blend,X 
Amedei,Toscano Black,40,"November, 2006",70%,,Italy,5,Blend,X 
Amedei,Toscano Black,75,"November, 2006",66%,,Italy,4,Blend,X 
AMMA,Catongo,1065,"May, 2013",75%,,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,"May, 2010",85%,,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,"May, 2010",50%,,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,"May, 2010",75%,,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,"May, 2010",60%,,Brazil,4,Forastero (Parazinho),Brazil
Anahata,Elvesia,1259,"December, 2014",75%,,U.S.A.,3,X ,Dominican Republic
Animas,Alto Beni,1852,"September, 2016",75%,,U.S.A.,3.5,X ,Bolivia
Ara,Madagascar,1375,"December, 2014",75%,, France,3,Trinitario,Madagascar
Ara,Chiapas,1379,"December, 2014",72%,, France,2.5,X ,Mexico
Ara,Equateur,1379,"December, 2014",75%,, France,2.75,X ,Ecuador
Ara,Trincheras,1379,"December, 2014",75%,, France,3,X ,Venezuela
Arete,San Juan,1724,"September, 2016",70%,,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,1724,"September, 2016",70%,,U.S.A.,3.75,X ,Tanzania
Arete,Tien Giang,1900,"September, 2016",73%,,U.S..,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,1904,"September, 2016",70%,,U.S.A.,3.25,X ,Ecuador
Arete,Costa Esmeraldas,1904,"September, 2016",70%,,U.S..,3.25,X ,Ecuador
Arete,Lachua,1904,"September, 2016",70%,,U.S.A.,3.5,X ,Guatemala
Arete,Rugoso,1904,"September, 2016",70%,,U.S.A.,3.75,X ,Nicaragua
Arete,"La Masica, FHIA",1908,"September, 2016",70%,,U.S.A.,3.5,X ,Honduras
Arete,"Coto Brus, Terciopelo",1908,"September, 2016",70%,,U.S.A.,4,X ,Costa Rica
Arete,Phantom,1924,"September, 2016",70%,,U.S.A.,4,Forastero (Nacional),Peru
Arete,Elvesia,1928,"September, 2016",70%,,U.S.A.,3.75,X ,Dominican Republic
Arete,Matasawalevu,1928,"September, 2016",70%,,U.S.A.,3.25,X ,Fiji
Arete,Lam Dong,1928,"September, 2016",73%,,U.S.A.,3.25,X ,Vietnam
Arete,Fazenda Camboa,1534,"July, 2015",70%,,U.S.A.,3.5,X ,Brazil
Arete,Nacional,1534,"July, 2015",68%,,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",1534,"July, 2015",70%,,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,1598,"July, 2015",70%,,usa.,3.5,X ,Domincan Republic
Arete,Maya Mountain,1598,"July, 2015",70%,,U.S..,3.75,Trinitario,Belize
Arete,Chuno,1598,"July, 2015",70%,,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,1602,"July, 2015",75%,,U.S.A.,2.75,X ,Brazil
Arete,Guatemala,1602,"July, 2015",70%,,U.S.A.,3.25,X ,Guatemala
Arete,Camino Verde,1602,"July, 2015",75%,,U.S.A.,3.5,X ,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,"May, 2013",72%,,united kingdom,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",947,"January, 2012",72%,,U.K.,3.75,X ,Colombia
Artisan du Chocolat,Haiti,729,"October, 2011",72%,,u.k.,4,X ,Haiti
Artisan du Chocolat,Panama,745,"October, 2011",72%,,U.K.,2.75,X ,Panama
Artisan du Chocolat,Venezuela,486,"May, 2010",100%,,U.K.,1.75,X ,Venezuela
Artisan du Chocolat,Jamaica,531,"May, 2010",72%,,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,600,"May, 2010",72%,,U.K.,3.25,X ,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,600,"May, 2010",72%,,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,600,"May, 2010",72%,,U.K.,3.5,X ,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",355,"February, 2009",75%,,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,355,"February, 2009",72%,,u.k.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363,"February, 2009",72%,,united kingdom,1.75,X ,Brazil
Artisan du Chocolat,Madagascar,363,"February, 2009",80%,,U.K.,3,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,363,"February, 2009",75%,,U.K.,3,Criollo,Peru
Artisan du Chocolat,Dominican Republic,363,"February, 2009",72%,,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,300,"April, 2008",72%,,U.K.,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,"May, 2013",72%,,U.K.,2.75,Trinitario,Colombia
Askinosie,Mababa,1780,"September, 2016",68%,,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",647,"October, 2011",72%,,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Cortes,661,"October, 2011",70%,,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,331,"February, 2009",77%,,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,141,"June, 2007",75%,,usa.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,175,"June, 2007",70%,,U.S.A.,3,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,1474,"July, 2015",80%,,Australia,3.25,X ,X 
Bahen & Co.,Papua New Guinea,1474,"July, 2015",70%,,Australia,3.5,X ,Papua New Guinea
Bahen & Co.,Sambirano,995,"January, 2012",70%,,Australia,3,Trinitario,Madagascar
Bahen & Co.,Bahia,999,"January, 2012",70%,,Australia,2.5,X ,Brazil
Bahen & Co.,Houseblend,999,"January, 2012",70%,,Australia,2.5,Blend,X 
Bakau,"Bambamarca, July, 2015",1454,"July, 2015",70%,,Peru,2.75,X ,Peru
Bakau,"Huallabamba, July, 2015",1454,"July, 2015",70%,,Peru,3.5,X ,Peru
Bar Au Chocolat,Bahia,1554,"July, 2015",70%,,U.S.A.,3.5,X ,Brazil
Bar Au Chocolat,Maranon Canyon,1295,"December, 2014",70%,,U.S.A.,4,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,983,"January, 2012",70%,,U.S.A.,3.25,X ,Dominican Republic
Bar Au Chocolat,Chiapas,983,"January, 2012",70%,,U.S.A.,3.5,X ,Mexico
Bar Au Chocolat,Sambirano,983,"January, 2012",70%,,U.S..,3.75,Trinitario,Madagascar
Baravelli's,single estate,955,"January, 2012",80%,,Wales,2.75,X ,Costa Rica
Batch,"Dominican Republic, Batch 3",1840,"September, 2016",65%,,U.S.A.,3.5,X ,Domincan Republic
Batch,Brazil,1868,"September, 2016",70%,,U.S.A.,3.75,X ,Brazil
Batch,Ecuador,1880,"September, 2016",65%,,U.S.A.,3.25,X ,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,"March, 2017",73%,,u.k.,3,X ,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,"March, 2017",72%,,U.K.,3.25,X ,Malaysia
Beehive,"Brazil, Batch 20316",1784,"September, 2016",80%,,U.S.A.,2.75,X ,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,"September, 2016",70%,,U.S.A.,2.75,X ,Domincan Republic
Beehive,"Ecuador, Batch 31516",1784,"September, 2016",70%,,U.S..,2.75,X ,Ecuador
Beehive,Ecuador,1788,"September, 2016",90%,,U.S.A.,2.75,X ,Ecuador
Belcolade,Costa Rica,586,"May, 2010",64%,,Belgium,2.75,X ,Costa Rica
Belcolade,Papua New Guinea,586,"May, 2010",64%,,Belgium,2.75,X ,Papua New Guinea
Belcolade,Peru,586,"May, 2010",64%,,Belgium,2.75,X ,Peru
Belcolade,Ecuador,586,"May, 2010",71%,,Belgium,3.5,X ,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",1800,"September, 2016",70%,,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",1804,"September, 2016",70%,,U.S.A.,3.25,X ,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,"September, 2016",70%,,U.S.A.,3.5,X ,Domincan Republic
Belyzium,"Belize south, low fermentation",1768,"September, 2016",83%,,Germany  ,2.75,Trinitario,Belize
Belyzium,Belize south,1768,"September, 2016",78%,,Germany  ,3,Trinitario,Belize
Belyzium,Belize south,1768,"September, 2016",83%,,Germany ,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,1141,"May, 2013",74%,,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,1141,"May, 2013",74%,,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141,"May, 2013",74%,,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,1141,"May, 2013",73%,,Belgium,4,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,"October, 2011",72%,,Belgium,4,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,"October, 2011",72%,,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,797,"January, 2012",55%,, France,2.75,X ,X 
Beschle (Felchlin),Madagascar,636,"October, 2011",64%,,Switzerland,3,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,636,"October, 2011",88%,,Switzerland,3,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,"October, 2011",72%,,Switzerland,3.5,X ,Venezuela
Beschle (Felchlin),Ecuador,636,"October, 2011",72%,,Switzerland,4,X ,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,"May, 2010",70%,,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,"May, 2010",74%,,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",508,"May, 2010",64%,,Switzerland,3.5,X ,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,"May, 2010",72%,,Switzerland,3.5,X ,Venezuela
Bisou,"Nicaragua, American style",1482,"July, 2015",76%,,U.S.A.,2.5,X ,Nicaragua
Bisou,"San Andres, American style",1486,"July, 2015",76%,,U.S.A.,2.5,X ,Costa Rica
Bisou,"San Andres, silk",1486,"July, 2015",78%,,U.S.A.,2.5,X ,Costa Rica
Bisou,Belize,1486,"July, 2015",86%,,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,963,"January, 2012",72%,,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",478,"May, 2010",75%,,U.S.A.,3.25,X ,Indonesia
Bittersweet Origins,Hapa Nibby,502,"May, 2010",70%,,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",558,"May, 2010",65%,,U.S..,2.75,X ,Indonesia
Bittersweet Origins,Sambirano,565,"May, 2010",70%,,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",565,"May, 2010",78%,,U.S.A.,3,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,414,"February, 2009",75%,,U.S.A.,3,X ,Dominican Republic
Bittersweet Origins,Puerto Plata,414,"February, 2009",65%,,U.S.A.,3.5,X ,Dominican Republic
Bittersweet Origins,Sambirano,423,"February, 2009",75%,,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,431,"February, 2009",65%,,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,233,"April, 2008",71%,,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233,"April, 2008",75%,,U.S.A.,3.5,X ,Panama
Bittersweet Origins,Puerto Plata,233,"April, 2008",68%,,U.S..,3.75,X ,Dominican Republic
Bittersweet Origins,Ankasa,256,"April, 2008",70%,,usa.,3,Forastero,Ghana
Black Mountain,La Red,256,"April, 2008",70%,,U.S.A.,2.75,X ,Dominican Republic
Black Mountain,Carenero Superior,256,"April, 2008",70%,,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,256,"April, 2008",70%,,U.S.A.,3,X ,Nicaragua
Black River (A. Morin),Blue Mountain Region,1331,"December, 2014",70%,,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",1046,"May, 2013",82%,,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,322,"February, 2009",72%,,Spain,2.75,X ,X 
Blue Bandana,"Akesson's E., Sambirano V.",1740,"September, 2016",82%,,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,1752,"September, 2016",75%,,U.S.A.,2.75,X ,Guatemala
Blue Bandana,Kokoa Kamili,1752,"September, 2016",75%,,U.S.A.,3.5,X ,Tanzania
Blue Bandana,Zorzal Reserva,1756,"September, 2016",75%,,U.S.A.,3,X ,Dominican Republic
Blue Bandana,Guatemala,911,"January, 2012",70%,,U.S.A.,3.5,X ,Guatemala
Blue Bandana,Madagascar,911,"January, 2012",70%,,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,1912,"September, 2016",75%,, France,3.5,X ,Mexico
Bonnat,Kaori,1339,"December, 2014",75%,, France,4,X ,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,"December, 2014",75%,, France  ,3.25,X ,Dominican Republic
Bonnat,Surfin,1418,"December, 2014",65%,, France,3.75,X ,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,1038,"May, 2013",75%,,  France ,3.5,X ,Brazil
Bonnat,Gabon,1042,"May, 2013",75%,, France,3.25,X ,Gabon
Bonnat,Cuba,629,"October, 2011",75%,, France,3.5,Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",629,"October, 2011",75%,, France,3.5,X ,Peru
Bonnat,Piura Blanco,629,"October, 2011",75%,, France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,629,"October, 2011",75%,, France,3.75,X ,Brazil
Bonnat,Haiti,629,"October, 2011",75%,, France,4,X ,Haiti
Bonnat,"Madagascar, 100% criollo",629,"October, 2011",75%,, France,4,Criollo,Madagascar
Bonnat,Juliana,672,"October, 2011",75%,, France,3.5,X ,Brazil
Bonnat,Jamaique,761,"October, 2011",75%,, France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,331,"February, 2009",75%,, France  ,3,X ,Ivory Coast
Bonnat,"Porcelana, Apotequil",336,"February, 2009",75%,, France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,"February, 2009",75%,,  France ,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395,"February, 2009",75%,, France,3,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",199,"April, 2008",75%,, France,4,Criollo (Porcelana),Venezuela
Bonnat,Equateur,123,"June, 2007",75%,, France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,24,"November, 2006",75%,, France  ,3.75,Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",32,"November, 2006",75%,, France,4,X ,Venezuela
Bonnat,"Maracaibo, El Rosario",48,"November, 2006",75%,, France,4,Criollo,Venezuela
Bonnat,Madagascar,75,"November, 2006",75%,, France,4,Trinitario,Madagascar
Bonnat,One Hundred,81,"November, 2006",100%,, France,1.5,X ,X 
Bonnat,Ceylan,81,"November, 2006",75%,, France,3,X ,Sri Lanka
Bonnat,Chuao,81,"November, 2006",75%,, France,4,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,"February, 2009",77%,,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,"February, 2009",100%,,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,1267,"December, 2014",70%,,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,1271,"December, 2014",70%,,U.S.A.,2.75,X ,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,"September, 2016",70%,,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,"September, 2016",70%,,U.S.A.,3.75,X ,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462,"July, 2015",68%,,U.S.A.,3.75,X ,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,1255,"December, 2014",70%,,U.S..,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,1355,"December, 2014",70%,,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,1125,"May, 2013",72%,,U.S.A.,3,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,"May, 2013",70%,,U.S.A.,3.25,X ,Ecuador
Brasstown aka It's Chocolate,Ghana,1129,"May, 2013",75%,,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,"May, 2013",85%,,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P.,1514,"July, 2015",60%,,U.S.A.,3,X ,Dominican Republic
Brazen,Elvesia P.,1514,"July, 2015",80%,,U.S.A.,3.25,X ,Dominican Republic
Brazen,"Alta Verapaz, December, 2014",1514,"July, 2015",70%,,U.S.A.,3.5,X ,Guatemala
Brazen,Ambolikapiky P.,1518,"July, 2015",80%,,U.S.A.,2.75,X ,Madagascar
Brazen,Maya Mountain,1518,"July, 2015",80%,,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P.,1518,"July, 2015",60%,,U.S.A.,3.25,X ,Madagascar
Breeze Mill,Jamaica,1149,"May, 2013",70%,,U.S.A.,3,Trinitario,Jamaica
Bright,Somia Plantation,1231,"December, 2014",72%,,Australia,3,Trinitario,Madagascar
Bright,Marabel Farms,1231,"December, 2014",70%,,Australia,3.5,X ,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231,"December, 2014",72%,,Australia,3.5,X ,Ecuador
Bright,Gran Couva,1235,"December, 2014",68%,,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,1638,"July, 2015",70%,,Russia,3.25,X ,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181,"May, 2013",68%,,U.S.A.,2.75,X ,Dominican Republic
Burnt Fork Bend,Trinidad,1299,"December, 2014",72%,,U.S..,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,1299,"December, 2014",72%,,U.S.A.,3.5,X ,Ecuador
Burnt Fork Bend,Belize,1303,"December, 2014",72%,,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,1303,"December, 2014",72%,,U.S.A.,3.25,Blend,X 
